date,scenario,monthly_return,wealth_index,rolling_vol_3m
2025-01-31,Baseline,0.018,1.018,
2025-02-28,Baseline,-0.012,1.005784,
2025-03-31,Baseline,0.025,1.0309286,0.06808817812219681
2025-04-30,Baseline,0.008,1.0391760288,0.06415605972938175
2025-05-31,Baseline,0.015,1.054763669232,0.029597297173897488
2025-06-30,Baseline,-0.006,1.048435087216608,0.03704051835490427
2025-07-31,Baseline,0.021,1.0704522240481567,0.049112116631234694
2025-08-31,Baseline,0.011,1.0822271985126863,0.047286361670147554
2025-09-30,Baseline,-0.018,1.062747108939458,0.07017121917139534
2025-10-31,Baseline,0.027,1.0914412808808234,0.07901898506055365
2025-11-30,Baseline,0.009,1.1012642524087506,0.07846018098373211
2025-12-31,Baseline,0.014,1.116681951942473,0.03218695387886215
2025-01-31,Higher costs,0.016,1.016,
2025-02-28,Higher costs,-0.014,1.001776,
2025-03-31,Higher costs,0.023,1.024816848,0.06808817812219681
2025-04-30,Higher costs,0.006,1.030965749088,0.06415605972938175
2025-05-31,Higher costs,0.013,1.044368303826144,0.029597297173897464
2025-06-30,Higher costs,-0.008,1.0360133573955348,0.03704051835490426
2025-07-31,Higher costs,0.019000000000000003,1.0556976111860499,0.049112116631234694
2025-08-31,Higher costs,0.009,1.0651988896867242,0.047286361670147554
2025-09-30,Higher costs,-0.019999999999999997,1.0438949118929897,0.07017121917139532
2025-10-31,Higher costs,0.025,1.0699922846903143,0.07901898506055365
2025-11-30,Higher costs,0.006999999999999999,1.0774822306831464,0.07846018098373211
2025-12-31,Higher costs,0.012,1.090412017451344,0.03218695387886215
2025-01-31,Downside stress,0.018,1.018,
2025-02-28,Downside stress,-0.012,1.005784,
2025-03-31,Downside stress,0.025,1.0309286,0.06808817812219681
2025-04-30,Downside stress,-0.032,0.9979388847999999,0.10017983829094555
2025-05-31,Downside stress,0.015,1.012907968072,0.10543244282477761
2025-06-30,Downside stress,-0.006,1.006830520263568,0.08155979401641472
2025-07-31,Downside stress,0.021,1.0279739611891028,0.04911211663123471
2025-08-31,Downside stress,0.011,1.039281674762183,0.04728636167014757
2025-09-30,Downside stress,-0.068,0.9686105208783544,0.16889049706836676
2025-10-31,Downside stress,0.027,0.9947630049420699,0.17619307591389624
2025-11-30,Downside stress,0.009,1.0037158719865484,0.1748027459738548
2025-12-31,Downside stress,0.014,1.0177678941943602,0.032186953878862404
